order_id,customer_id,order_date,product_number,country_iso
0195f31d44c471989196396dbb21fe92,7d0f1b78dc9d47c6af684e943fd1e8a2,2025-04-01,ANNAPANNA,IT
0195f2650fdb705a92668f812101fa05,018e76e6ded47288b4ee5a356517510c,2025-04-01,CATEKORO,IT
0195f0dd29de7344921754b4edee1e0c,7d4509f14e16476d875477a8574a64d8,2025-04-01,FIOCCO5,IT
0195f05b5e42726fa5ebeac21fbce5e6,66617b8a4e494d48bcde9b4610084c55,2025-04-01,BOHNE_024,NL
0195f1665d5271ffbc424852e6ac95b2,01938697ca7c7092b63e2b0cea86a508,2025-04-01,HUELSEN_038,IT
0195f2c11a007361a6ebfe868774bb8d,0195f2c0ab53700198c3814c8e493bb3,2025-04-01,PROTEIN_051,IT
0195f15506f37379a5f52c850d4ff9cd,0195f0e17ccc7135ad28772a5c38784b,2025-04-01,DINK_003,IT
0195f128fd0871968ffc4ab6f3441c16,01931548432e7082b59ba2b624a1e0e9,2025-04-01,SOJA_012,IT
0195f1e66ac471059a3280ab485286db,019594d8c2d7709981aa972e69f1d279,2025-04-01,MUS_058,IT
0195f1cb31ff731195e3d66f6e3fff65,0195003c16a97161909358ec3ad70915,2025-04-01,BULG_002,IT
0195f1dc05e170cb9926b4d1890f5089,018c367e20857261936ef356da51b1ce,2025-04-01,MUS_053,IT
0195f1e66ac471059a3280ab485286db,019594d8c2d7709981aa972e69f1d279,2025-04-01,CHI_001,IT
0195f026f83c738bb8364342eb9954f2,82ad5c64cbbe4a968dc5bf7f66388fa8,2025-04-01,SOJA_002,IT
0195f1ba2848737f86ecc6a891a09910,2a89083c9f2f4782b09301b2379497f0,2025-04-01,GRANOLA_004,IT
0195f2580c8173348bc968a748a0f719,0191e59c362373369a12f5886196e986,2025-04-01,CRIS_005,NL
0195f2540bf1719abeb9c74fbea2d433,0190cca00f4d73228e63fd339c20204e,2025-04-01,AHORN_001,NL
0195f37248bb70ca96f7e245622843bb,0195f37186f8731b8eaa83cd690c0e69,2025-04-01,OEL_008,IT
0195f28ef17a7314b12c5657645af277,eaa231b088924d258a802d7b4e3f3908,2025-04-01,MUS_053,IT
0195f092cc0f7051a5d6a61945c36b39,018eae18dc1671c39121b97ce9a665e1,2025-04-01,DISPENSAVEG,IT
0195f2defd1a727baf0131bfa2d32dba,0195f2dcc82a729c8dd54c4c64082f22,2025-04-01,FIOCCO5,IT
0195f07185f873db8f2ae602d2e637a9,0195f070e45872a6a29b62e00e2f9aba,2025-04-01,BLISS_015,IT
0195f085d5b871c3bb4e82eea55d2a3c,0195f083bd40732488d63bb85a2e4e65,2025-04-01,BLISS_021,IT
0195f1328e217054ab20b1d14da0e700,019579ae8f5873b986649a7f551d3d7e,2025-04-01,PROTEIN_064,IT
0195f2f8ce597199871d4593f88036db,018ff3cd07c471479b6224153a013346,2025-04-01,KEKS_002,IT
0195f1694db372e7830bfb2d20998b5f,0195f168f6d0734f90c476cdff25fb7a,2025-04-01,MAYO_003,IT
0195f35dc146701eb7a98d8aa7915436,01954be6ddc473b79e1acbf6fb64a1f7,2025-04-01,CASHEW_003,IT
